tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
81573,MWBE,21,32,Minority & Women-Owned Business,seed_exact,high,merge_to_canonical,
81574,NYS Senator Roxanne Persaud,1,1,,,,delete,
81575,Brooklyn Developmental Center Mixed-Use Project,1,1,,,,delete,
81576,Village of Rockville Centre,4,4,,,,delete,
81577,Memorial,6,3,,,,delete,
81578,Village of Cedarhurst,1,0,,,,delete,
81581,Pharmacies,6,12,,,,delete,
81584,9/11 Anniversary; 9/11 First Responders; September 11 Workers Protection Task Force,2,13,Public Safety,semicolon_first_term_keyword,medium,merge_to_canonical,8316.0
81588,supplies,1,1,,,,delete,
81589,drive,2,1,,,,delete,
81590,artificial reef program,1,6,,,,delete,
81591,fishermen,1,1,,,,delete,
81592,community board budgeting,1,3,,,,delete,
81593,School Funding; Education,8,34,Education,semicolon_first_term_keyword,medium,merge_to_canonical,7001.0
81594,National Voter Registration Day;,1,3,Voting Rights,semicolon_first_term_keyword,medium,merge_to_canonical,9001.0
81595,covid-19 recovery,6,39,COVID-19 Pandemic,keyword_match,medium,merge_to_canonical,78756.0
81596,financial security,1,6,,,,delete,
81597,Newsday,1,2,,,,delete,
81598,Long Island Divided,3,4,,,,delete,
81599,Implicit bias,2,12,,,,delete,
81600,WWII veteran,2,1,,,,delete,
81601,birthday,3,2,,,,delete,
81603,real estate agents,7,25,,,,delete,
81608,utility providers,2,18,Utilities,keyword_match,medium,merge_to_canonical,7686.0
81609,communications providers,1,2,,,,delete,
8161,Workforce Development,73,353,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
81613,Heroes,1,0,,,,delete,
81614,Honored,2,0,,,,delete,
81615,Brookhaven National Laboratory,1,1,,,,delete,
81616,Department of Energy,2,17,Energy,keyword_match,medium,merge_to_canonical,7026.0
81617,tax/water lien,1,1,Taxes,keyword_match,medium,merge_to_canonical,7626.0
